point,point_tag,model,n,num_ctx,pad_words,reps,reps_ok,statuses,all_on_gpu,vram_gb,cpu_gb,total_gb,gpu_pct,cpu_pct,vram_total_gb,cpu_total_gb,load_sec,ctx_reported,wall_time_sec,ttft_thinking_sec,ttft_content_sec,tokens_per_sec,batch_tokens_per_sec,ttft_thinking_sec_min,ttft_thinking_sec_max,ttft_content_sec_min,ttft_content_sec_max,point_elapsed_sec,output_tokens,thinking_chunks,content_chunks,load_sec_std,vram_gb_std,wall_time_sec_std,ttft_content_sec_std,tokens_per_sec_std,batch_tokens_per_sec_std,requests_ok,requests_failed,error,KVQ,NP,source_file
1,qwen3-n5-c16000+deepseek-n5-c16000,deepseek-v3.1-terminus:q4_k_m,5,16000,0,3,3,ok,True,412.7,0.0,412.7,100.0,0.0,468.6,0.0,24.3,16000.0,10.8,1.7,9.2,18.3,68.6,0.7,2.8,5.6,13.1,13.9,834.3,129.6,35.3,42.2,0.0,1.6,1.8,0.7,5.1,15,0,,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
1,qwen3-n5-c16000+deepseek-n5-c16000,qwen3:32b-q8,5,16000,0,3,3,ok,True,56.0,0.0,56.0,100.0,0.0,468.6,0.0,2.5,16000.0,12.3,0.8,11.3,34.9,146.2,0.6,0.9,8.2,14.3,13.9,2028.7,366.5,34.3,4.3,0.0,0.2,0.2,0.6,8.0,15,0,,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
2,qwen3-n5-c16000+deepseek-n5-c32000,deepseek-v3.1-terminus:q4_k_m,5,32000,0,3,3,ok,True,418.5,0.0,418.5,100.0,0.0,474.5,0.0,16.0,32000.0,7.8,1.5,6.2,19.1,58.7,0.5,2.8,1.3,11.6,16.4,615.0,85.0,36.0,27.8,0.0,2.0,2.0,0.7,4.5,15,0,,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
2,qwen3-n5-c16000+deepseek-n5-c32000,qwen3:32b-q8,5,16000,0,3,3,ok,True,56.0,0.0,56.0,100.0,0.0,474.5,0.0,3.0,16000.0,13.1,0.7,11.9,35.6,136.1,0.5,0.8,8.8,16.8,16.4,2227.0,398.7,41.7,5.3,0.0,0.6,0.9,1.3,4.4,15,0,,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
3,qwen3-n5-c16000+deepseek-n5-c64000,deepseek-v3.1-terminus:q4_k_m,5,64000,0,3,3,ok,True,430.3,0.0,430.3,100.0,0.0,486.2,0.0,21.4,64000.0,7.2,1.0,5.5,19.7,61.8,0.6,1.6,1.1,11.0,16.6,644.3,92.0,34.9,37.1,0.0,1.7,1.7,2.1,10.1,15,0,,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
3,qwen3-n5-c16000+deepseek-n5-c64000,qwen3:32b-q8,5,16000,0,3,3,ok,True,56.0,0.0,56.0,100.0,0.0,486.2,0.0,3.2,16000.0,13.9,0.7,12.8,31.9,127.4,0.6,0.8,6.3,18.2,16.6,2095.3,379.3,34.8,5.6,0.0,1.0,0.9,1.8,17.4,15,0,,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
4,qwen3-n5-c16000+deepseek-n5-c125k,deepseek-v3.1-terminus:q4_k_m,5,128000,0,3,3,ok,True,453.8,0.0,453.8,100.0,0.0,509.8,0.0,16.0,128000.0,10.1,1.1,8.2,19.3,66.1,0.7,1.6,0.9,16.4,18.2,897.3,137.5,39.9,27.8,0.0,2.6,2.4,0.4,7.9,15,0,,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
4,qwen3-n5-c16000+deepseek-n5-c125k,qwen3:32b-q8,5,16000,0,3,3,ok,True,56.0,0.0,56.0,100.0,0.0,509.8,0.0,3.2,16000.0,15.2,0.7,14.1,34.0,138.3,0.6,0.8,10.6,19.4,18.2,2473.3,451.8,37.9,5.6,0.0,1.5,1.6,0.8,4.3,15,0,,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
5,qwen3-n5-c40000+deepseek-n5-c16000,deepseek-v3.1-terminus:q4_k_m,5,16000,0,3,0,not_run,False,414.7,0.0,414.7,100.0,0.0,414.7,0.0,62.5,16000.0,,,,,,,,,,,,,,14.5,0.0,,,,,0,0,not_resident: qwen3:32b-q8,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
5,qwen3-n5-c40000+deepseek-n5-c16000,qwen3:32b-q8,5,40000,0,3,0,not_loaded,False,0.0,0.0,0.0,,,414.7,0.0,8.8,,,,,,,,,,,,,,,0.4,0.0,,,,,0,0,not_resident: qwen3:32b-q8,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
6,qwen3-n5-c40000+deepseek-n5-c32000,deepseek-v3.1-terminus:q4_k_m,5,32000,0,3,0,not_run,False,420.8,0.0,420.8,100.0,0.0,420.8,0.0,62.3,32000.0,,,,,,,,,,,,,,15.1,0.0,,,,,0,0,not_resident: qwen3:32b-q8,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
6,qwen3-n5-c40000+deepseek-n5-c32000,qwen3:32b-q8,5,40000,0,3,0,not_loaded,False,0.0,0.0,0.0,,,420.8,0.0,9.0,,,,,,,,,,,,,,,0.1,0.0,,,,,0,0,not_resident: qwen3:32b-q8,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
7,qwen3-n5-c40000+deepseek-n5-c64000,deepseek-v3.1-terminus:q4_k_m,5,64000,0,3,0,not_run,False,433.1,0.0,433.1,100.0,0.0,433.1,0.0,62.8,64000.0,,,,,,,,,,,,,,15.2,0.0,,,,,0,0,not_resident: qwen3:32b-q8,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
7,qwen3-n5-c40000+deepseek-n5-c64000,qwen3:32b-q8,5,40000,0,3,0,not_loaded,False,0.0,0.0,0.0,,,433.1,0.0,8.7,,,,,,,,,,,,,,,0.4,0.0,,,,,0,0,not_resident: qwen3:32b-q8,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
8,qwen3-n5-c40000+deepseek-n5-c125k,deepseek-v3.1-terminus:q4_k_m,5,128000,0,3,0,not_run,False,457.7,0.0,457.7,100.0,0.0,457.7,0.0,62.5,128000.0,,,,,,,,,,,,,,15.2,0.0,,,,,0,0,not_resident: qwen3:32b-q8,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
8,qwen3-n5-c40000+deepseek-n5-c125k,qwen3:32b-q8,5,40000,0,3,0,not_loaded,False,0.0,0.0,0.0,,,457.7,0.0,8.8,,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,not_resident: qwen3:32b-q8,KVQ4,NP5,ollama/KVQ4/NP5/qwen3-32b-q8_deepseek-v3.1-terminus-q4_k_m/results_avg.csv
1,deepseek-n10-c16000,deepseek-v3.1-terminus:q4_k_m,10,16000,0,5,5,ok,True,420.4,0.0,420.4,100.0,0.0,420.4,0.0,9.6,16000.0,16.2,1.7,13.7,11.2,83.8,1.1,3.6,1.2,26.5,19.7,1611.2,124.1,35.0,21.4,0.0,4.3,4.2,1.6,10.0,50,0,,KVQ8,NP10,ollama/KVQ8/NP10/deepseek-v3.1-terminus-q4_k_m/results_avg.csv
2,deepseek-n10-c32000,deepseek-v3.1-terminus:q4_k_m,10,32000,0,5,5,ok,True,432.1,0.0,432.1,100.0,0.0,432.1,0.0,9.6,32000.0,12.7,1.6,10.4,12.5,87.3,0.7,3.0,1.2,20.0,16.8,1455.6,108.2,35.4,21.5,0.0,2.3,2.3,0.7,7.7,50,0,,KVQ8,NP10,ollama/KVQ8/NP10/deepseek-v3.1-terminus-q4_k_m/results_avg.csv
3,deepseek-n10-c64000,deepseek-v3.1-terminus:q4_k_m,10,64000,0,5,5,ok,True,455.7,0.0,455.7,100.0,0.0,455.7,0.0,9.6,64000.0,14.7,1.2,12.4,12.0,87.2,0.7,1.8,1.2,22.9,19.1,1661.2,128.7,35.4,21.4,0.0,4.0,3.9,1.6,5.5,50,0,,KVQ8,NP10,ollama/KVQ8/NP10/deepseek-v3.1-terminus-q4_k_m/results_avg.csv
4,deepseek-n10-c125k,deepseek-v3.1-terminus:q4_k_m,10,128000,0,5,5,ok,True,502.7,0.0,502.7,100.0,0.0,502.7,0.0,12.9,128000.0,13.0,1.2,10.6,12.3,87.3,1.0,1.8,1.2,20.0,17.5,1528.8,114.0,36.9,29.0,0.0,1.8,1.9,0.4,4.8,50,0,,KVQ8,NP10,ollama/KVQ8/NP10/deepseek-v3.1-terminus-q4_k_m/results_avg.csv
1,qwen3-n10-c16000,qwen3-235b-a22b:q4_k_m,10,16000,0,3,3,ok,True,177.3,0.0,177.3,100.0,0.0,177.3,0.0,8.5,16000.0,25.1,1.2,23.3,17.0,133.6,1.2,1.3,15.1,31.8,31.2,4162.7,373.6,37.6,14.6,0.0,0.5,0.5,0.6,3.0,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m/results_avg.csv
2,qwen3-n10-c40000,qwen3-235b-a22b:q4_k_m,10,40000,0,3,3,ok,True,225.2,0.0,225.2,100.0,0.0,225.2,0.0,9.9,40000.0,24.8,1.2,23.0,16.5,134.9,1.0,1.3,13.9,30.9,29.3,3962.3,353.1,38.1,17.2,0.0,2.1,2.2,1.4,4.4,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m/results_avg.csv
1,qwen3-n10-c16000,qwen3:32b-q8,10,16000,0,3,3,ok,True,77.1,0.0,77.1,100.0,0.0,77.1,0.0,2.6,16000.0,16.1,1.0,14.6,30.7,226.2,0.7,1.2,9.3,23.8,20.8,4612.3,420.0,36.2,4.4,0.0,1.6,1.3,2.5,38.8,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-32b-q8/results_avg.csv
2,qwen3-n10-c40000,qwen3:32b-q8,10,40000,0,3,3,ok,True,139.8,0.0,139.8,100.0,0.0,139.8,0.0,2.9,40000.0,15.0,0.9,13.4,30.1,220.0,0.7,1.1,9.0,19.9,19.3,4238.0,381.6,37.2,5.0,0.0,0.7,0.8,1.2,9.3,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-32b-q8/results_avg.csv
1,qwen3-n10-c16000+qwen3-n10-c16000,qwen3-235b-a22b:q4_k_m,10,16000,0,3,3,ok,True,177.3,0.0,177.3,100.0,0.0,254.4,0.0,8.6,16000.0,29.8,1.4,27.7,14.4,120.3,1.4,1.5,17.7,37.2,34.5,4159.3,370.1,40.8,15.0,0.0,1.6,1.9,1.0,5.2,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
